window_index,start_sec,end_sec,top1_label,top1_prob,playing_guitar_prob,playing_guitar_rank,is_playing
0,0.0,2.67,beatboxing,0.1534,0.0015,,False
1,2.0,4.67,pull ups,0.239,0.0033,,False
2,4.0,6.67,contact juggling,0.2713,0.0037,,False
3,6.0,8.67,stretching arm,0.4073,0.0032,,False
4,8.0,10.67,contact juggling,0.3915,0.0017,,False
5,10.0,12.67,stretching arm,0.2418,0.0035,,False
6,12.0,14.67,dunking basketball,0.3826,0.0019,,False
7,14.0,16.67,dunking basketball,0.222,0.0027,,False
8,16.0,18.67,pull ups,0.3479,0.0021,,False
9,18.0,20.67,dunking basketball,0.3478,0.0018,,False
10,20.0,22.67,dunking basketball,0.2682,0.003,,False
11,22.0,24.67,dunking basketball,0.3866,0.0028,,False
12,24.0,26.67,dunking basketball,0.3249,0.0039,,False
13,26.0,28.67,dunking basketball,0.3753,0.0021,,False
14,28.0,30.67,dunking basketball,0.2359,0.0025,,False
15,30.0,32.67,stretching arm,0.0678,0.0024,,False
16,32.0,34.67,stretching arm,0.0642,0.0023,,False
17,34.0,36.67,dunking basketball,0.0805,0.0022,,False
18,36.0,38.67,dunking basketball,0.4652,0.0019,,False
19,38.0,40.67,dunking basketball,0.3673,0.0025,,False
20,40.0,42.67,dunking basketball,0.2748,0.0047,,False
21,42.0,44.67,dunking basketball,0.216,0.0206,,False
22,44.0,46.67,playing guitar,0.4281,0.4281,1,False
23,46.0,48.67,playing guitar,0.5144,0.5144,1,True
24,48.0,50.67,playing guitar,0.5209,0.5209,1,True
25,50.0,52.67,playing guitar,0.5323,0.5323,1,True
26,52.0,54.67,stretching arm,0.1497,0.0379,4,False
27,54.0,56.67,playing guitar,0.3482,0.3482,1,False
28,56.0,58.67,playing ukulele,0.228,0.1147,3,False
29,58.0,60.67,playing guitar,0.3981,0.3981,1,False
30,60.0,62.67,playing guitar,0.4792,0.4792,1,False
31,62.0,64.67,playing guitar,0.4989,0.4989,1,False
32,64.0,66.67,playing guitar,0.4842,0.4842,1,False
33,66.0,68.67,playing guitar,0.5519,0.5519,1,True
34,68.0,70.67,playing bagpipes,0.0743,0.0523,2,False
35,70.0,72.67,playing guitar,0.558,0.558,1,True
36,72.0,74.67,playing guitar,0.375,0.375,1,False
37,74.0,76.67,playing ukulele,0.2031,0.1456,2,False
38,76.0,78.67,playing guitar,0.6427,0.6427,1,True
39,78.0,80.67,playing guitar,0.475,0.475,1,False
40,80.0,82.67,playing guitar,0.4006,0.4006,1,False
41,82.0,84.67,playing guitar,0.0404,0.0404,1,False
42,84.0,86.67,playing guitar,0.5085,0.5085,1,True
43,86.0,88.67,playing guitar,0.2889,0.2889,1,False
44,88.0,90.67,playing guitar,0.4393,0.4393,1,False
45,90.0,92.67,playing guitar,0.3428,0.3428,1,False
46,92.0,94.67,playing guitar,0.3446,0.3446,1,False
47,94.0,96.67,playing guitar,0.086,0.086,1,False
48,96.0,98.67,playing ukulele,0.0884,0.0375,4,False
49,98.0,100.67,playing guitar,0.2697,0.2697,1,False
50,100.0,102.67,playing guitar,0.445,0.445,1,False
51,102.0,104.67,playing guitar,0.525,0.525,1,True
52,104.0,106.67,playing guitar,0.5464,0.5464,1,True
53,106.0,108.67,playing guitar,0.56,0.56,1,True
54,108.0,110.67,playing guitar,0.524,0.524,1,True
55,110.0,112.67,playing ukulele,0.2538,0.1253,3,False
56,112.0,114.67,playing guitar,0.3299,0.3299,1,False
