window_index,start_sec,end_sec,top1_label,top1_prob,playing_guitar_prob,playing_guitar_rank,is_playing
57,114.0,116.67,playing ukulele,0.1146,0.093,2,False
58,116.0,118.67,stretching arm,0.0754,0.0091,,False
59,118.0,120.67,trimming or shaving beard,0.1193,0.0062,,False
60,120.0,122.67,stretching arm,0.0837,0.0027,,False
61,122.0,124.67,stretching arm,0.0869,0.0028,,False
62,124.0,126.67,stretching arm,0.0729,0.003,,False
63,126.0,128.67,stretching arm,0.082,0.0029,,False
64,128.0,130.67,playing guitar,0.1617,0.1617,1,False
65,130.0,132.67,playing guitar,0.2309,0.2309,1,False
66,132.0,134.67,playing guitar,0.1864,0.1864,1,False
67,134.0,136.67,stretching arm,0.3264,0.0061,,False
68,136.0,138.67,stretching arm,0.2215,0.0034,,False
69,138.0,140.67,pull ups,0.2228,0.002,,False
70,140.0,142.67,pull ups,0.2791,0.0019,,False
71,142.0,144.67,pull ups,0.3336,0.0015,,False
72,144.0,146.67,pull ups,0.3243,0.0016,,False
73,146.0,148.67,dunking basketball,0.141,0.0024,,False
74,148.0,150.67,pull ups,0.0639,0.0025,,False
75,150.0,152.67,pull ups,0.0864,0.0026,,False
76,152.0,154.67,pull ups,0.2543,0.0023,,False
77,154.0,156.67,taking a shower,0.1139,0.0024,,False
78,156.0,158.67,pull ups,0.1225,0.0031,,False
79,158.0,160.67,pull ups,0.2497,0.0018,,False
80,160.0,162.67,pull ups,0.1485,0.0233,,False
81,162.0,164.67,playing guitar,0.3585,0.3585,1,False
82,164.0,166.67,playing guitar,0.4363,0.4363,1,False
83,166.0,168.67,playing guitar,0.5364,0.5364,1,True
84,168.0,170.67,playing guitar,0.3979,0.3979,1,False
85,170.0,172.67,playing guitar,0.1567,0.1567,1,False
86,172.0,174.67,opening bottle,0.3322,0.0067,,False
87,174.0,176.67,playing bagpipes,0.1438,0.0155,,False
88,176.0,178.67,playing guitar,0.2584,0.2584,1,False
89,178.0,180.67,playing guitar,0.4012,0.4012,1,False
90,180.0,182.67,playing guitar,0.5286,0.5286,1,True
91,182.0,184.67,playing guitar,0.5363,0.5363,1,True
92,184.0,186.67,playing guitar,0.4195,0.4195,1,False
93,186.0,188.67,playing guitar,0.0638,0.0638,1,False
94,188.0,190.67,playing guitar,0.2495,0.2495,1,False
95,190.0,192.67,playing guitar,0.207,0.207,1,False
96,192.0,194.67,playing guitar,0.2799,0.2799,1,False
97,194.0,196.67,playing guitar,0.5833,0.5833,1,True
98,196.0,198.67,playing guitar,0.4418,0.4418,1,False
99,198.0,200.67,pull ups,0.1265,0.0064,,False
100,200.0,202.67,playing guitar,0.1712,0.1712,1,False
101,202.0,204.67,playing guitar,0.3646,0.3646,1,False
102,204.0,206.67,playing guitar,0.2709,0.2709,1,False
103,206.0,208.67,playing guitar,0.1739,0.1739,1,False
104,208.0,210.67,playing guitar,0.3875,0.3875,1,False
105,210.0,212.67,playing guitar,0.1287,0.1287,1,False
106,212.0,214.67,playing guitar,0.282,0.282,1,False
107,214.0,216.67,playing guitar,0.4963,0.4963,1,False
108,216.0,218.67,playing guitar,0.4322,0.4322,1,False
109,218.0,220.67,playing guitar,0.5883,0.5883,1,True
110,220.0,222.67,playing guitar,0.3091,0.3091,1,False
111,222.0,224.67,playing guitar,0.3127,0.3127,1,False
112,224.0,226.67,dunking basketball,0.3405,0.0023,,False
113,226.0,228.67,pull ups,0.3213,0.0014,,False
114,228.0,230.67,dunking basketball,0.3306,0.0029,,False
115,230.0,232.67,dunking basketball,0.324,0.0022,,False
116,232.0,234.67,pull ups,0.3852,0.0013,,False
117,234.0,236.67,trimming or shaving beard,0.0778,0.002,,False
118,236.0,238.67,trimming or shaving beard,0.1013,0.002,,False
119,238.0,240.67,punching bag,0.1106,0.0021,,False
120,240.0,242.67,trimming or shaving beard,0.2087,0.0018,,False
121,242.0,244.67,trimming or shaving beard,0.1977,0.002,,False
122,244.0,246.67,shaving head,0.0956,0.0021,,False
123,246.0,248.67,shaving head,0.3637,0.0013,,False
124,248.0,250.67,shaving head,0.5902,0.0011,,False
125,250.0,252.67,shaving head,0.3091,0.0014,,False
