window_index,start_sec,end_sec,top1_label,top1_prob,playing_guitar_prob,playing_guitar_rank,is_playing
0,0.0,2.67,playing guitar,0.4156,0.4156,1,False
1,2.0,4.67,playing guitar,0.4905,0.4905,1,False
2,4.0,6.67,stretching arm,0.1346,0.0047,,False
3,6.0,8.67,playing piano,0.0491,0.0061,,False
4,8.0,10.67,juggling balls,0.0877,0.0039,,False
5,10.0,12.67,punching bag,0.2205,0.0032,,False
6,12.0,14.67,juggling balls,0.0723,0.0035,,False
7,14.0,16.67,juggling balls,0.0713,0.0034,,False
8,16.0,18.67,juggling balls,0.0514,0.0019,,False
9,18.0,20.67,punching bag,0.1695,0.0032,,False
10,20.0,22.67,punching bag,0.329,0.0365,3,False
11,22.0,24.67,playing guitar,0.3277,0.3277,1,False
12,24.0,26.67,archery,0.3208,0.02,4,False
13,26.0,28.67,playing guitar,0.1971,0.1971,1,False
14,28.0,30.67,archery,0.385,0.0192,5,False
15,30.0,32.67,archery,0.1289,0.0229,,False
16,32.0,34.67,spray painting,0.1675,0.0129,,False
17,34.0,36.67,playing guitar,0.0936,0.0936,1,False
18,36.0,38.67,headbanging,0.1536,0.1011,2,False
19,38.0,40.67,headbanging,0.1052,0.0799,2,False
20,40.0,42.67,headbanging,0.1775,0.0815,2,False
21,42.0,44.67,playing guitar,0.0688,0.0688,1,False
22,44.0,46.67,headbanging,0.1268,0.0389,2,False
23,46.0,48.67,playing guitar,0.136,0.136,1,False
24,48.0,50.67,playing guitar,0.0561,0.0561,1,False
25,50.0,52.67,headbanging,0.1331,0.0638,2,False
26,52.0,54.67,headbanging,0.1376,0.0257,,False
27,54.0,56.67,headbanging,0.0386,0.0216,,False
28,56.0,58.67,playing guitar,0.1189,0.1189,1,False
29,58.0,60.67,playing cello,0.1133,0.0706,2,False
30,60.0,62.67,playing guitar,0.0812,0.0812,1,False
31,62.0,64.67,shaking head,0.109,0.0446,5,False
32,64.0,66.67,headbanging,0.3786,0.085,2,False
33,66.0,68.67,headbanging,0.3905,0.025,5,False
34,68.0,70.67,headbanging,0.3435,0.0726,2,False
35,70.0,72.67,headbanging,0.0654,0.049,5,False
36,72.0,74.67,headbanging,0.2857,0.0123,,False
37,74.0,76.67,playing cello,0.2277,0.075,2,False
38,76.0,78.67,playing cello,0.1698,0.1651,2,False
39,78.0,80.67,playing guitar,0.4647,0.4647,1,False
40,80.0,82.67,plastering,0.3254,0.1572,2,False
41,82.0,84.67,playing guitar,0.6816,0.6816,1,True
42,84.0,86.67,playing guitar,0.407,0.407,1,False
43,86.0,88.67,playing guitar,0.4712,0.4712,1,False
44,88.0,90.67,playing guitar,0.5224,0.5224,1,True
45,90.0,92.67,playing guitar,0.3648,0.3648,1,False
46,92.0,94.67,playing guitar,0.4029,0.4029,1,False
47,94.0,96.67,playing guitar,0.4723,0.4723,1,False
48,96.0,98.67,playing guitar,0.5677,0.5677,1,True
49,98.0,100.67,playing guitar,0.549,0.549,1,True
50,100.0,102.67,playing guitar,0.6737,0.6737,1,True
51,102.0,104.67,playing guitar,0.49,0.49,1,False
52,104.0,106.67,playing guitar,0.5961,0.5961,1,True
53,106.0,108.67,playing guitar,0.6256,0.6256,1,True
54,108.0,110.67,playing guitar,0.5515,0.5515,1,True
55,110.0,112.67,playing guitar,0.2703,0.2703,1,False
56,112.0,114.67,playing guitar,0.4954,0.4954,1,False
57,114.0,116.67,playing guitar,0.5105,0.5105,1,True
58,116.0,118.67,playing guitar,0.5766,0.5766,1,True
59,118.0,120.67,playing guitar,0.5007,0.5007,1,True
60,120.0,122.67,playing guitar,0.5379,0.5379,1,True
61,122.0,124.67,playing guitar,0.5836,0.5836,1,True
62,124.0,126.67,playing guitar,0.4197,0.4197,1,False
63,126.0,128.67,playing guitar,0.475,0.475,1,False
64,128.0,130.67,playing guitar,0.484,0.484,1,False
65,130.0,132.67,playing guitar,0.5536,0.5536,1,True
66,132.0,134.67,playing guitar,0.4868,0.4868,1,False
67,134.0,136.67,playing guitar,0.5392,0.5392,1,True
68,136.0,138.67,playing guitar,0.5587,0.5587,1,True
69,138.0,140.67,playing guitar,0.4722,0.4722,1,False
70,140.0,142.67,playing guitar,0.4762,0.4762,1,False
71,142.0,144.67,playing guitar,0.5277,0.5277,1,True
72,144.0,146.67,playing guitar,0.4362,0.4362,1,False
73,146.0,148.67,playing guitar,0.4857,0.4857,1,False
74,148.0,150.67,playing guitar,0.4262,0.4262,1,False
