window_index,start_sec,end_sec,top1_label,top1_prob,playing_guitar_prob,playing_guitar_rank,is_playing
75,150.0,152.67,playing guitar,0.4746,0.4746,1,False
76,152.0,154.67,playing guitar,0.459,0.459,1,False
77,154.0,156.67,playing guitar,0.4848,0.4848,1,False
78,156.0,158.67,playing guitar,0.4048,0.4048,1,False
79,158.0,160.67,playing guitar,0.4072,0.4072,1,False
80,160.0,162.67,playing guitar,0.4675,0.4675,1,False
81,162.0,164.67,playing guitar,0.4632,0.4632,1,False
82,164.0,166.67,playing guitar,0.4403,0.4403,1,False
83,166.0,168.67,playing guitar,0.4882,0.4882,1,False
84,168.0,170.67,playing guitar,0.4753,0.4753,1,False
85,170.0,172.67,playing guitar,0.3342,0.3342,1,False
86,172.0,174.67,playing guitar,0.1767,0.1767,1,False
87,174.0,176.67,playing guitar,0.1828,0.1828,1,False
88,176.0,178.67,playing guitar,0.4302,0.4302,1,False
89,178.0,180.67,playing guitar,0.5021,0.5021,1,True
90,180.0,182.67,playing guitar,0.4552,0.4552,1,False
91,182.0,184.67,playing guitar,0.511,0.511,1,True
92,184.0,186.67,playing guitar,0.5214,0.5214,1,True
93,186.0,188.67,playing guitar,0.4032,0.4032,1,False
94,188.0,190.67,playing guitar,0.4587,0.4587,1,False
95,190.0,192.67,playing guitar,0.4586,0.4586,1,False
96,192.0,194.67,playing guitar,0.4803,0.4803,1,False
97,194.0,196.67,playing guitar,0.3623,0.3623,1,False
98,196.0,198.67,playing guitar,0.3345,0.3345,1,False
99,198.0,200.67,playing guitar,0.4694,0.4694,1,False
100,200.0,202.67,playing guitar,0.5572,0.5572,1,True
101,202.0,204.67,playing guitar,0.5446,0.5446,1,True
102,204.0,206.67,plastering,0.4221,0.1055,2,False
103,206.0,208.67,playing guitar,0.7418,0.7418,1,True
104,208.0,210.67,playing guitar,0.5025,0.5025,1,True
105,210.0,212.67,contact juggling,0.0683,0.0072,,False
106,212.0,214.67,juggling balls,0.0988,0.0023,,False
107,214.0,216.67,juggling balls,0.1106,0.0025,,False
108,216.0,218.67,juggling balls,0.0904,0.0027,,False
109,218.0,220.67,playing guitar,0.5942,0.5942,1,True
110,220.0,222.67,playing guitar,0.5868,0.5868,1,True
111,222.0,224.67,playing guitar,0.4852,0.4852,1,False
112,224.0,226.67,playing guitar,0.3307,0.3307,1,False
113,226.0,228.67,playing guitar,0.0765,0.0765,1,False
114,228.0,230.67,plastering,0.102,0.0189,5,False
115,230.0,232.67,plastering,0.21,0.0135,4,False
116,232.0,234.67,contact juggling,0.603,0.0281,2,False
117,234.0,236.67,playing guitar,0.473,0.473,1,False
118,236.0,238.67,playing guitar,0.4305,0.4305,1,False
119,238.0,240.67,playing guitar,0.4354,0.4354,1,False
120,240.0,242.67,playing guitar,0.4778,0.4778,1,False
121,242.0,244.67,playing guitar,0.437,0.437,1,False
122,244.0,246.67,playing guitar,0.3228,0.3228,1,False
123,246.0,248.67,strumming guitar,0.3245,0.2994,2,False
124,248.0,250.67,playing guitar,0.2572,0.2572,1,False
125,250.0,252.67,beatboxing,0.2892,0.0023,,False
126,252.0,254.67,beatboxing,0.6402,0.0006,,False
127,254.0,256.67,shaving head,0.1309,0.0032,,False
