window_index,start_sec,end_sec,top1_label,top1_prob,playing_guitar_prob,playing_guitar_rank,is_playing
107,214.0,216.67,juggling balls,0.7203,0.0011,,False
108,216.0,218.67,juggling balls,0.4057,0.0017,,False
109,218.0,220.67,juggling balls,0.6746,0.0014,,False
110,220.0,222.67,juggling balls,0.6161,0.0013,,False
111,222.0,224.67,juggling balls,0.5228,0.0018,,False
112,224.0,226.67,juggling balls,0.6418,0.0012,,False
113,226.0,228.67,juggling balls,0.5921,0.0019,,False
114,228.0,230.67,juggling balls,0.4569,0.0015,,False
115,230.0,232.67,contact juggling,0.2726,0.0033,,False
116,232.0,234.67,contact juggling,0.2382,0.0022,,False
117,234.0,236.67,washing dishes,0.1423,0.0016,,False
118,236.0,238.67,juggling balls,0.2582,0.0017,,False
119,238.0,240.67,juggling balls,0.6337,0.0015,,False
120,240.0,242.67,juggling balls,0.6116,0.0015,,False
121,242.0,244.67,juggling balls,0.3119,0.0021,,False
122,244.0,246.67,tossing coin,0.1226,0.0022,,False
123,246.0,248.67,juggling balls,0.2154,0.0027,,False
124,248.0,250.67,juggling balls,0.136,0.0026,,False
125,250.0,252.67,pull ups,0.1992,0.0035,,False
126,252.0,254.67,moving furniture,0.2053,0.0017,,False
127,254.0,256.67,stretching arm,0.0846,0.0012,,False
128,256.0,258.67,pull ups,0.2201,0.0012,,False
